image,mask
cats_images/2008_003231.jpg,cats_annotation/2008_003231.mat
cats_images/2010_001021.jpg,cats_annotation/2010_001021.mat
cats_images/2008_007472.jpg,cats_annotation/2008_007472.mat
cats_images/2008_006999.jpg,cats_annotation/2008_006999.mat
cats_images/2010_005421.jpg,cats_annotation/2010_005421.mat
cats_images/2009_004639.jpg,cats_annotation/2009_004639.mat
cats_images/2010_002224.jpg,cats_annotation/2010_002224.mat
cats_images/2010_001328.jpg,cats_annotation/2010_001328.mat
cats_images/2010_002543.jpg,cats_annotation/2010_002543.mat
cats_images/2008_005088.jpg,cats_annotation/2008_005088.mat
cats_images/2009_002352.jpg,cats_annotation/2009_002352.mat
cats_images/2008_006793.jpg,cats_annotation/2008_006793.mat
cats_images/2009_000553.jpg,cats_annotation/2009_000553.mat
cats_images/2008_005270.jpg,cats_annotation/2008_005270.mat
cats_images/2008_002298.jpg,cats_annotation/2008_002298.mat
cats_images/2010_004518.jpg,cats_annotation/2010_004518.mat
cats_images/2009_002061.jpg,cats_annotation/2009_002061.mat
cats_images/2010_005264.jpg,cats_annotation/2010_005264.mat
cats_images/2010_002333.jpg,cats_annotation/2010_002333.mat
cats_images/2009_001361.jpg,cats_annotation/2009_001361.mat
cats_images/2008_005380.jpg,cats_annotation/2008_005380.mat
cats_images/2009_004183.jpg,cats_annotation/2009_004183.mat
cats_images/2008_006843.jpg,cats_annotation/2008_006843.mat
cats_images/2008_003343.jpg,cats_annotation/2008_003343.mat
cats_images/2010_002307.jpg,cats_annotation/2010_002307.mat
cats_images/2010_004425.jpg,cats_annotation/2010_004425.mat
cats_images/2010_002993.jpg,cats_annotation/2010_002993.mat
cats_images/2008_003213.jpg,cats_annotation/2008_003213.mat
cats_images/2008_000999.jpg,cats_annotation/2008_000999.mat
cats_images/2008_003052.jpg,cats_annotation/2008_003052.mat
cats_images/2008_007975.jpg,cats_annotation/2008_007975.mat
cats_images/2010_003887.jpg,cats_annotation/2010_003887.mat
cats_images/2010_000291.jpg,cats_annotation/2010_000291.mat
cats_images/2009_001894.jpg,cats_annotation/2009_001894.mat
cats_images/2010_004369.jpg,cats_annotation/2010_004369.mat
cats_images/2009_004225.jpg,cats_annotation/2009_004225.mat
cats_images/2008_002597.jpg,cats_annotation/2008_002597.mat
cats_images/2010_002900.jpg,cats_annotation/2010_002900.mat
cats_images/2010_000374.jpg,cats_annotation/2010_000374.mat
cats_images/2008_003704.jpg,cats_annotation/2008_003704.mat
cats_images/2008_004006.jpg,cats_annotation/2008_004006.mat
cats_images/2009_003655.jpg,cats_annotation/2009_003655.mat
cats_images/2009_004234.jpg,cats_annotation/2009_004234.mat
cats_images/2008_005252.jpg,cats_annotation/2008_005252.mat
cats_images/2010_001333.jpg,cats_annotation/2010_001333.mat
cats_images/2009_003312.jpg,cats_annotation/2009_003312.mat
cats_images/2009_001502.jpg,cats_annotation/2009_001502.mat
cats_images/2008_007842.jpg,cats_annotation/2008_007842.mat
cats_images/2010_000769.jpg,cats_annotation/2010_000769.mat
cats_images/2010_005627.jpg,cats_annotation/2010_005627.mat
cats_images/2010_002243.jpg,cats_annotation/2010_002243.mat
cats_images/2010_005482.jpg,cats_annotation/2010_005482.mat
cats_images/2010_003925.jpg,cats_annotation/2010_003925.mat
cats_images/2010_005108.jpg,cats_annotation/2010_005108.mat
cats_images/2009_002561.jpg,cats_annotation/2009_002561.mat
cats_images/2008_007059.jpg,cats_annotation/2008_007059.mat
cats_images/2010_002177.jpg,cats_annotation/2010_002177.mat
cats_images/2008_005777.jpg,cats_annotation/2008_005777.mat
cats_images/2009_004529.jpg,cats_annotation/2009_004529.mat
cats_images/2010_002305.jpg,cats_annotation/2010_002305.mat
cats_images/2010_001103.jpg,cats_annotation/2010_001103.mat
cats_images/2009_000966.jpg,cats_annotation/2009_000966.mat
cats_images/2010_000974.jpg,cats_annotation/2010_000974.mat
cats_images/2008_001078.jpg,cats_annotation/2008_001078.mat
cats_images/2009_002104.jpg,cats_annotation/2009_002104.mat
cats_images/2010_005222.jpg,cats_annotation/2010_005222.mat
cats_images/2010_003358.jpg,cats_annotation/2010_003358.mat
cats_images/2008_006307.jpg,cats_annotation/2008_006307.mat
cats_images/2008_003048.jpg,cats_annotation/2008_003048.mat
cats_images/2008_005636.jpg,cats_annotation/2008_005636.mat
cats_images/2010_000439.jpg,cats_annotation/2010_000439.mat
cats_images/2008_006863.jpg,cats_annotation/2008_006863.mat
cats_images/2010_001939.jpg,cats_annotation/2010_001939.mat
cats_images/2010_001435.jpg,cats_annotation/2010_001435.mat
cats_images/2010_003371.jpg,cats_annotation/2010_003371.mat
cats_images/2010_006025.jpg,cats_annotation/2010_006025.mat
cats_images/2008_001335.jpg,cats_annotation/2008_001335.mat
cats_images/2010_003402.jpg,cats_annotation/2010_003402.mat
cats_images/2010_003230.jpg,cats_annotation/2010_003230.mat
cats_images/2010_003467.jpg,cats_annotation/2010_003467.mat
cats_images/2008_008585.jpg,cats_annotation/2008_008585.mat
cats_images/2010_000404.jpg,cats_annotation/2010_000404.mat
cats_images/2008_005460.jpg,cats_annotation/2008_005460.mat
cats_images/2010_001247.jpg,cats_annotation/2010_001247.mat
cats_images/2010_003435.jpg,cats_annotation/2010_003435.mat
cats_images/2010_000791.jpg,cats_annotation/2010_000791.mat
cats_images/2010_005984.jpg,cats_annotation/2010_005984.mat
cats_images/2008_007269.jpg,cats_annotation/2008_007269.mat
cats_images/2010_001602.jpg,cats_annotation/2010_001602.mat
cats_images/2010_004621.jpg,cats_annotation/2010_004621.mat
cats_images/2008_007082.jpg,cats_annotation/2008_007082.mat
cats_images/2010_001140.jpg,cats_annotation/2010_001140.mat
cats_images/2010_001215.jpg,cats_annotation/2010_001215.mat
cats_images/2010_005115.jpg,cats_annotation/2010_005115.mat
cats_images/2009_001484.jpg,cats_annotation/2009_001484.mat
cats_images/2010_003569.jpg,cats_annotation/2010_003569.mat
cats_images/2010_001913.jpg,cats_annotation/2010_001913.mat
cats_images/2010_004327.jpg,cats_annotation/2010_004327.mat
cats_images/2009_002363.jpg,cats_annotation/2009_002363.mat
cats_images/2009_000342.jpg,cats_annotation/2009_000342.mat
cats_images/2010_003598.jpg,cats_annotation/2010_003598.mat
cats_images/2010_001994.jpg,cats_annotation/2010_001994.mat
cats_images/2010_004346.jpg,cats_annotation/2010_004346.mat
cats_images/2008_001640.jpg,cats_annotation/2008_001640.mat
cats_images/2010_002693.jpg,cats_annotation/2010_002693.mat
cats_images/2010_002204.jpg,cats_annotation/2010_002204.mat
cats_images/2008_005510.jpg,cats_annotation/2008_005510.mat
cats_images/2008_007989.jpg,cats_annotation/2008_007989.mat
cats_images/2010_003976.jpg,cats_annotation/2010_003976.mat
cats_images/2009_002836.jpg,cats_annotation/2009_002836.mat
